county,FIPS,medicareOnly,medicaidOnly,dual,BCBS
Alamance,1,0.490109,-0.23878,0.43496,0.00052
Alexander,3,-0.26081,-0.2581,-0.6341,-0.75191
Alleghany,5,-0.40325,-0.58598,-0.1547,-0.22783
Anson,7,0.417189,-0.4055,0.04087,0.283079
Ashe,9,-0.07842,-0.75238,0.27156,-0.18803
Avery,11,-0.08954,-0.55632,-0.02298,-0.106461
Beaufort,13,0.3302,-0.99385,0.199771,0.181919
Bertie,15,0.159762,-0.24361,0.5006,0.4096
Bladen,17,0.157792,-0.25745,0.0409,-0.3
Brunswick,19,0.36462,-0.51539,0.30891,-0.385961
Buncombe,21,0.36956,-0.49808,0.33985,0.38277
Burke,23,0.31252,-0.34522,0.09865,-0.2573
Cabarrus,25,0.66857,-0.17897,-0.09252,-0.05216
Caldwell,27,-0.02553,-0.602032,0.048215,-0.63828
Camden,29,0.31947,-0.41162,0.05256,-0.19364
Carteret,31,0.388843,-0.59241,0.02131,0.21881
Caswell,33,0.051143,-0.62841,0.32551,-0.45556
Catawba,35,0.41985,-0.58548,-0.33341,-0.72342
Chatham,37,0.62346,-0.56921,-0.11889,-0.19674
Cherokee,39,0.101981,-1.04757,0.38835,0.0693
Chowan,41,0.45986,-0.55239,0.20271,-0.64695
Clay,43,-0.13551,-0.38188,0.375,0.13765
Cleveland,45,-0.05959,-0.6124,0.04477,-0.56626
Columbus,47,0.23506,-0.44636,-0.29153,-0.719491
Craven,49,0.19441,-0.40377,0.34416,-0.26977
Cumberland,51,0.34933,-0.79367,0.01716,-0.0054
Currituck,53,-0.13773,-0.34162,0.16483,-0.13833
Dare,55,0.14149,-0.57911,0.23526,0.11477
Davidson,57,0.20573,-0.57231,-0.14264,-0.281471
Davie,59,0.783438,-0.63432,0.14138,0.20798
Duplin,61,0.059969,-0.6528,-0.01,-0.25613
Durham,63,0.88381,-0.00137,0.45142,0.514099
Edgecombe,65,0.446195,-0.3375,0.42092,0.36372
Forsyth,67,0.21019,0.16713,0.49686,0.39613
Franklin,69,0.505628,-0.26531,0.27693,0.143229
Gaston,71,0.50261,-0.14337,0.33759,0.07779
Gates,73,0.34781,-0.30961,0.20244,-0.32456
Graham,75,-0.431596,-0.58552,-0.00922,-0.14042
Granville,77,0.36856,-0.84213,0.88221,0.55896
Greene,79,0.061127,-0.57446,0.3725,0.21677
Guilford,81,0.45006,-0.49457,-0.28095,-0.00939
Halifax,83,0.40632,-0.55359,0.3446,0.322179
Harnett,85,0.39713,-0.26229,0.47958,-0.350781
Haywood,87,0.291127,-0.217592,0.2337,0.1432
Henderson,89,0.285907,-0.41307,0.27373,-0.04075
Hertford,91,0.395512,-0.48571,0.30089,0.36585
Hoke,93,0.2487,-0.5537,0.13906,0.3774
Hyde,95,-0.1143,-0.43681,0.0933,-0.13782
Iredell,97,0.42022,-0.20061,-0.27773,-0.15688
Jackson,99,0.629423,-0.3568,0.54789,0.64226
Johnston,101,0.608525,-0.65114,0.33625,-0.141981
Jones,103,0.11538,-0.10293,0.32656,-0.21592
Lee,105,0.41366,-0.70729,-0.03259,-0.48654
Lenoir,107,0.35391,-0.80267,0.29951,-0.421
Lincoln,109,0.316011,-0.99626,0.19151,-0.034751
Macon,113,0.109131,-0.4366,0.08999,-0.15197
Madison,115,-0.146825,-0.37969,0.24641,0.140219
Martin,117,0.476731,-0.43558,0.4623,0.3629
McDowell,111,-0.3338,-0.30186,-0.217554,0.18723
Mecklenburg,119,0.76932,0.05774,0.79806,0.67193
Mitchell,121,0.01549,-1.089216,-0.32452,-0.101711
Montgomery,123,-0.147431,-0.377086,0.0347,-0.03925
Moore,125,0.53717,-0.646,0.28789,0.21964
Nash,127,0.60713,-0.58607,-0.01685,0.12508
New Hanover,129,0.424072,-0.29078,0.33029,-0.10504
Northampton,131,0.1097,-0.25953,0.08847,-0.02701
Onslow,133,0.420996,-0.73769,0.33151,-0.03929
Orange,135,0.386379,-0.41014,0.13351,0.26395
Pamlico,137,0.10504,-0.44158,-0.34666,-0.252639
Pasquotank,139,0.64977,-0.56506,-0.18735,-0.70942
Pender,141,0.39787,-0.35552,0.36583,0.11949
Perquimans,143,0.10722,-0.48709,-0.50986,-0.41394
Person,145,0.025474,-0.12939,0.06803,0.61244
Pitt,147,0.15813,-0.24218,0.52406,0.58663
Polk,149,-0.131872,-0.29122,-0.0076,0.05902
Randolph,151,0.36063,-0.51909,-0.15305,-0.118661
Richmond,153,0.24432,-0.35348,0.24654,0.061219
Robeson,155,0.41011,-0.9779,0.19482,-0.213421
Rockingham,157,0.23109,-0.32389,0.25343,-0.47024
Rowan,159,0.266398,-0.2419,-0.16273,-0.411171
Rutherford,161,0.22578,-0.41335,0.0686,-0.203851
Sampson,163,0.1053,-0.06309,0.491,0.47147
Scotland,165,0.659114,-0.72327,0.33236,-0.62867
Stanly,167,0.264841,-0.2419,-0.7177,-0.549871
Stokes,169,0.031215,-0.32088,-0.15167,0.12761
Surry,171,0.31015,-1.3527,-0.65959,-0.536761
Swain,173,0.14238,-0.63344,0.3504,0.072789
Transylvania,175,0.35332,-0.57796,0.31377,0.13123
Tyrrell,177,0.0226,-0.56326,0.32538,-0.08983
Union,179,0.49268,-0.23091,0.187,0.773329
Vance,181,0.41554,-0.2209,0.49999,0.78216
Wake,183,0.71579,-0.07219,0.30753,-0.039961
Warren,185,0.222468,-0.5592,0.42991,0.8846
Washington,187,0.15534,-0.0693,0.3673,-0.0963
Watauga,189,0.36419,-0.40974,0.36326,-0.5196
Wayne,191,0.34815,-0.1969,0.0398,-0.259595
Wilkes,193,-0.040141,-0.74154,0.13057,0.027749
Wilson,195,0.28234,-0.87618,-0.09214,-0.09531
Yadkin,197,0.14459,-0.7268,0.36804,0.34269
Yancey,199,-0.25989,-0.66154,-0.17834,0.34399
*For ARF numeric indicators: 1= lowest quartile and 4= highest quartile ,,,,,
#Generalist Count & Procedure Volume adjusted per 10k population of county,,,,,
