zip,zip_lat,zip_long,fac_long,fac_lat,facility_name,nearest_distance
27006,35.944562,-80.437631,-80.572005,35.899528,Davie County Hospital,8.152050775
27007,36.376884,-80.596265,-80.611253,36.488313,Northern Hospital of Surry County,7.73012395
27009,36.22393,-80.080018,-80.27158,36.090634,North Carolina Baptist Hospitals,14.11649962
27010,36.1822,-80.3384,-80.300567,36.085231,NCBH Outpatient Endoscopy Center,7.014204329
27011,36.209184,-80.693772,-80.671282,36.134519,Hoots Memorial Hospital,5.300490424
27012,36.004018,-80.371445,-80.304786,36.061305,Digestive Health Endoscopy Center,5.435890251
27013,35.763468,-80.70373,-80.831029,35.817579,Piedmont HealthCare Endoscopy Center,8.067144256
27014,35.811967,-80.554258,-80.572005,35.899528,Davie County Hospital,6.119832012
27016,36.444588,-80.21657,-80.229915,36.417634,Stokes-Reynolds Memorial Hospital,2.002177423
27017,36.375294,-80.804534,-80.837841,36.262262,Hugh Chatham Memorial Hospital - Inc.,8.013842323
27018,36.194473,-80.530126,-80.671282,36.134519,Hoots Memorial Hospital,8.910818081
27019,36.291218,-80.238076,-80.229915,36.417634,Stokes-Reynolds Memorial Hospital,8.730228709
27020,36.10595,-80.819786,-80.671282,36.134519,Hoots Memorial Hospital,8.539468621
27021,36.326683,-80.338048,-80.229915,36.417634,Stokes-Reynolds Memorial Hospital,8.701470311
27022,36.503332,-80.211368,-80.229915,36.417634,Stokes-Reynolds Memorial Hospital,5.999952048
27023,36.092164,-80.44061,-80.300567,36.085231,NCBH Outpatient Endoscopy Center,7.853372751
27024,36.516657,-80.82397,-80.611253,36.488313,Northern Hospital of Surry County,12.00419675
27025,36.372196,-79.967095,-80.229915,36.417634,Stokes-Reynolds Memorial Hospital,14.98520266
27027,36.448735,-79.979965,-79.740136,36.493298,Morehead Memorial Hospital,13.70791828
27028,35.896995,-80.579514,-80.572005,35.899528,Davie County Hospital,0.456096902
27030,36.458463,-80.620723,-80.611253,36.488313,Northern Hospital of Surry County,2.125165962
27031,36.4995,-80.6078,-80.611253,36.488313,Northern Hospital of Surry County,0.795135177
27040,36.160688,-80.378555,-80.300567,36.085231,NCBH Outpatient Endoscopy Center,6.791046813
27041,36.413118,-80.47283,-80.611253,36.488313,Northern Hospital of Surry County,9.293860239
27042,36.342777,-80.055118,-80.229915,36.417634,Stokes-Reynolds Memorial Hospital,11.0305654
27043,36.339284,-80.44511,-80.229915,36.417634,Stokes-Reynolds Memorial Hospital,13.1613806
27045,36.241778,-80.29525,-80.27158,36.090634,North Carolina Baptist Hospitals,10.50710436
27046,36.480137,-80.096185,-80.229915,36.417634,Stokes-Reynolds Memorial Hospital,8.608191725
27047,36.31518,-80.581493,-80.611253,36.488313,Northern Hospital of Surry County,12.0550321
27048,36.463462,-79.907854,-79.740136,36.493298,Morehead Memorial Hospital,9.565288104
27049,36.5004,-80.6268,-80.611253,36.488313,Northern Hospital of Surry County,1.20183331
27050,36.240126,-80.39502,-80.300567,36.085231,NCBH Outpatient Endoscopy Center,11.91662858
27051,36.181824,-80.163394,-80.27158,36.090634,North Carolina Baptist Hospitals,8.727814639
27052,36.322771,-80.177976,-80.229915,36.417634,Stokes-Reynolds Memorial Hospital,7.154954121
27053,36.460714,-80.366714,-80.229915,36.417634,Stokes-Reynolds Memorial Hospital,8.181613145
27054,35.782858,-80.609361,-80.572005,35.899528,Davie County Hospital,8.314442673
27055,36.123283,-80.637072,-80.671282,36.134519,Hoots Memorial Hospital,2.064812441
27094,36.2404,-80.2936,-80.27158,36.090634,North Carolina Baptist Hospitals,10.40151116
27098,36.2404,-80.2936,-80.27158,36.090634,North Carolina Baptist Hospitals,10.40151116
27099,36.2404,-80.2936,-80.27158,36.090634,North Carolina Baptist Hospitals,10.40151116
27101,36.118017,-80.20037,-80.27158,36.090634,North Carolina Baptist Hospitals,4.409921315
27102,36.0983,-80.2466,-80.27158,36.090634,North Carolina Baptist Hospitals,1.494747821
27103,36.053601,-80.317729,-80.304786,36.061305,Digestive Health Endoscopy Center,0.898633661
27104,36.097729,-80.323493,-80.300567,36.085231,NCBH Outpatient Endoscopy Center,1.545806234
27105,36.165271,-80.240928,-80.27158,36.090634,North Carolina Baptist Hospitals,5.425339974
27106,36.148011,-80.324205,-80.300567,36.085231,NCBH Outpatient Endoscopy Center,4.527013438
27107,35.993781,-80.174643,-80.110222,35.881635,Thomasville Medical Center,8.535925139
27108,36.0866,-80.2488,-80.27158,36.090634,North Carolina Baptist Hospitals,1.30509022
27109,36.133262,-80.277173,-80.27158,36.090634,North Carolina Baptist Hospitals,2.95635735
27110,36.089442,-80.224365,-80.27158,36.090634,North Carolina Baptist Hospitals,2.644058831
27111,36.0986,-80.2468,-80.27158,36.090634,North Carolina Baptist Hospitals,1.491774266
27113,36.0983,-80.2466,-80.27158,36.090634,North Carolina Baptist Hospitals,1.494747821
27114,36.1004,-80.2485,-80.27158,36.090634,North Carolina Baptist Hospitals,1.456800841
