FROM_ZIP,nrst_dist
27006,8.1520507748
27007,7.7301239498
27009,14.116499618
27010,7.0142043287
27011,5.300490424
27012,5.435890251
27013,8.0671442564
27014,6.1198320118
27016,2.0021774228
27017,8.0138423229
27018,8.9108180814
27019,8.7302287085
27020,8.539468621
27021,8.7014703114
27022,5.9999520476
27023,7.8533727512
27024,12.004196754
27025,14.985202659
27027,13.70791828
27028,0.4560969022
27030,2.1251659618
27031,0.795135177
27040,6.7910468127
27041,9.2938602392
27042,11.030565399
27043,13.161380602
27045,10.507104364
27046,8.6081917252
27047,12.055032097
27048,9.5652881039
27049,1.2018333099
27050,11.916628577
27051,8.7278146388
27052,7.1549541207
27053,8.1816131453
27054,8.3144426728
27055,2.0648124407
27094,10.401511155
27098,10.401511155
27099,10.401511155
27101,4.4099213149
27102,1.4947478214
27103,0.898633661
27104,1.5458062335
27105,5.425339974
27106,4.5270134378
27107,8.5359251392
27108,1.3050902198
27109,2.9563573495
27110,2.6440588309
27111,1.4917742663
27113,1.4947478214
27114,1.456800841
27115,1.241283777
27116,1.446298202
27117,1.5321402188
27120,1.7858711504
27127,2.8000002783
27130,1.5525101101
27150,3.575157418
27152,3.6065044628
27155,3.7987896221
27157,3.4917889517
27198,1.3893679528
27199,1.289232007
27201,1.9845005746
27202,8.3908492329
27203,3.0524590831
27204,0.2903530583
27205,4.648362088
27207,9.4522735252
27208,11.954145179
27209,19.077871254
27212,23.110076754
27213,5.7061334347
27214,8.1481926737
27215,2.3718049253
27216,3.8917333863
27217,11.970095939
27228,10.293642371
27229,19.622082771
27230,5.4344589001
27231,18.577625488
27233,14.132985639
27235,9.2093084578
27237,6.3615992439
27239,15.829547281
27242,13.516251001
27243,13.912919323
27244,9.7747750556
27247,18.482203987
27248,7.6129986362
27249,8.7421573471
27252,10.974426634
27253,11.097053901
27256,8.5690656561
27258,9.6906560055
27259,18.066933803
27260,1.151355695
27261,0.5752542371
27262,1.6466274417
27263,5.0366694744
27264,0.5752542371
27265,3.713521979
27278,8.5027762805
27281,10.354764287
27282,5.1115657199
27283,10.655560639
27284,11.108685072
27285,11.250773776
27288,0.568484456
27289,1.5173691583
27291,27.759472441
27292,7.2624582491
27293,2.3725996889
27294,2.3725996889
27295,5.4825342041
27298,12.646289629
27299,6.3137483827
27301,6.1836307001
27302,13.727349127
27305,27.177128255
27306,15.865735873
27310,11.012419986
27311,12.787661343
27312,12.374923651
27313,11.126809818
27314,23.111801386
27315,18.245179401
27316,11.195867187
27317,8.8244061394
27320,1.5295697325
27323,0.1061282158
27325,18.004369322
27326,9.0604460119
27330,2.9286089805
27331,0.8640760057
27332,7.2163872579
27340,12.557667771
27341,14.638580377
27342,7.1981961884
27343,30.108768533
27344,1.2488848927
27349,11.765650061
27350,7.47803967
27351,9.4020725364
27355,9.4246150515
27356,18.744039267
27357,13.126423051
27358,7.2879537548
27359,8.01870007
27360,1.3289007783
27361,1.5625210544
27370,9.0461069949
27371,14.386016602
27373,7.6634765509
27374,7.096884009
27375,6.6929975252
27376,5.2925827969
27377,6.1341840914
27379,18.001525828
27401,1.3833076118
27402,1.1503081731
27403,1.4059742076
27404,1.1503081731
27405,2.6236967547
27406,6.7785731401
27407,5.8089082722
27408,1.4016552765
27409,6.3725720514
27410,4.305967715
27411,0.9948525732
27412,1.1503081731
27413,1.1856280983
27415,1.1503081731
27416,1.1503081731
27417,1.1503081731
27419,1.1503081731
27420,1.1503081731
27425,1.1715339484
27427,1.1503081731
27429,1.1503081731
27435,1.1503081731
27438,1.1503081731
27455,2.8532236359
27495,3.1798514442
27497,1.5644292185
27498,1.1503081731
27499,1.1503081731
27501,10.665820538
27502,6.8704250838
27503,7.7292377311
27504,9.9057114294
27505,11.41955355
27506,6.7438058753
27507,11.922523858
27508,10.895908064
27509,9.6312338676
27510,1.7579137025
27511,1.3382905029
27512,2.9619725539
27513,3.4394159927
27514,4.4257612102
27515,0.6958997571
27516,6.2272005041
27517,4.4922130495
27518,0.658430168
27519,5.7990097339
27520,9.8786026193
27521,6.3517026177
27522,12.94240052
27523,6.7584470845
27524,6.8525465367
27525,9.9916326742
27526,13.888397999
27527,9.137135605
27528,11.318886073
27529,9.6679422248
27530,9.0618202732
27531,3.948595195
27532,2.501995644
27533,2.501995644
27534,3.9785447515
27536,2.075817939
27537,4.7867039265
27539,4.3474550851
27540,10.41311679
27541,18.215209256
27542,12.428518441
27543,9.2272571678
27544,9.0283346626
27545,6.3599427755
27546,11.281125195
27549,4.977749863
27551,22.506478262
27552,14.826738491
27553,12.602018495
27555,8.2215843165
27556,8.4056616615
27557,14.52153037
27559,12.292288103
27560,2.9792843343
27562,11.859283723
27563,18.005242631
27565,3.4470902206
27568,5.3571595488
27569,11.011802951
27570,14.609103486
27571,8.4863906229
27572,14.633609993
27573,22.11570325
27574,20.246863502
27576,6.952400429
27577,2.3823278131
27581,11.18468657
27582,8.773794289
27583,17.902160657
27584,13.038729851
27586,19.800119703
27587,6.590353501
27588,7.8304457051
27589,17.121846145
27591,11.152512365
27592,13.454750265
27593,4.9551474671
27594,18.801591831
27596,11.36111245
27597,15.074867947
27599,0.7117671171
27601,2.6744500877
27602,2.9846695263
27603,6.824667764
27604,2.5296378292
27605,2.7377969346
27606,2.3193077986
27607,0.4659922413
27608,1.7017824407
27609,1.1739163117
27610,4.1653004419
27611,3.008710373
27612,2.5074202088
27613,3.7750686928
27614,3.582868834
